assumption_id,domain,parameter_name,baseline_value,source_or_legal_basis,notes
ASM_01,Institutional,Regelaltersgrenze,67,SGB VI § 35 / § 235,"Standard retirement age reaches 67 in 2031 for cohorts born 1964 and later"
ASM_02,Institutional,Early_Retirement_Deduction_per_Month,0.003,SGB VI § 77,"0.3% deduction per month before standard age (max 14.4%)"
ASM_03,Institutional,Delayed_Retirement_Bonus_per_Month,0.005,SGB VI § 77,"0.5% surcharge per month after standard age"
ASM_04,Institutional,Beitragssatz_GRV,0.186,SGB VI § 158,"Statutory pension contribution rate 18.6% (split equally between employer/employee)"
ASM_05,Institutional,Aktueller_Rentenwert_2026,42.52,BMAS / DRV,"Official pension point value from July 2026 in unified Germany"
ASM_06,Institutional,Durchschnittsentgelt_2026,49200,SGB VI Anlage 1,"Reference annual earnings for 1.0 Entgeltpunkt in 2026"
ASM_07,Institutional,Grundrente_Min_Years,33,SGB VI § 76g,"Minimum Grundrentenzeiten required for basic pension uplift"
ASM_08,Social_Safety_Net,Regelbedarf_Stufe1_2026,578,BMAS / SGB XII,"Monthly standard subsistence allowance for single adult"
ASM_09,Social_Safety_Net,Schonvermoegen_Single,10000,SGB XII § 90,"Liquid asset exemption threshold for means-tested social assistance"
ASM_10,Social_Safety_Net,Freibetrag_Grundrente_Max,289,SGB XII § 82a,"Maximum statutory pension income deduction in Grundsicherung im Alter"
ASM_11,Retiree_Deductions,KVdR_Retiree_Rate,0.0835,SGB V § 241,"7.3% base + 50% of average Zusatzbeitrag (1.05%)"
ASM_12,Retiree_Deductions,PV_Retiree_Rate,0.034,SGB XI § 55,"Long-term care insurance deduction for pensioners with children (4.0% childless)"
ASM_13,Capital_Market,Real_Return_Equities_Base,0.05,Macro Historical,"Long-term real annualized return for global equity index (MSCI World net of fees)"
ASM_14,Capital_Market,Real_Return_Bonds_Base,0.015,Macro Historical,"Long-term real annualized yield for German Bunds / Euro investment grade"
ASM_15,Capital_Market,Real_Return_Cash_Base,-0.005,Macro Historical,"Real yield on bank liquid savings deposits (net of inflation)"
ASM_16,Demography,Fertility_TFR_Central,1.47,Destatis 16. BVB G2,"Central variant total fertility rate"
ASM_17,Demography,Net_Migration_Central,250000,Destatis 16. BVB W2,"Central variant annual net cross-border migration to Germany"
ASM_18,Migration_Specific,Ukrainian_Female_Share,0.68,IAB / BAMF 2024,"Observed female share among adult Ukrainian displaced persons"
ASM_19,Migration_Specific,Deskilling_Penalty_Tertiary,0.28,IAB / SOEP,"Average initial wage penalty for foreign tertiary degrees without full recognition"
