source_id,institution,title,published_date,access_type,url
BBK_PHF_2023,Deutsche Bundesbank,Panel on Household Finances (PHF) Wave 2023,April 2025,Scientific Use File / Aggregate Reports,https://www.bundesbank.de/en/tasks/topics/bundesbank-study-wealth-in-germany-grows-in-nominal-terms-but-declines-in-real-terms-with-no-change-in-inequality-955716
BBK_DWA_2026,Deutsche Bundesbank,Distributional Wealth Accounts (DWA),August 2026,Open Data / SDMX API,https://www.bundesbank.de/de/statistiken/gesamtwirtschaftliche-rechenwerke/vermoegensbilanzen/vermoegensbilanzen-773968
DESTATIS_16_BVB,Statistisches Bundesamt (Destatis),16. koordinierte Bevoelkerungsvorausberechnung (2024-2070),2024/2025,Open Data / GENESIS Table 12421,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsvorausberechnung/_inhalt.html
DESTATIS_EVS_2023,Statistisches Bundesamt (Destatis),Einkommens- und Verbrauchsstichprobe (EVS) 2023,2024/2025,Open Data / Scientific Use File,https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Einkommen-Konsum-Lebensbedingungen/Einkommen-Einnahmen-Ausgaben/_inhalt.html
DRV_RENTENATLAS,Deutsche Rentenversicherung Bund,Rentenatlas & Rentenbestand / Rentenzugang 2024-2026,2025/2026,Open Data / FDZ-RV,https://www.deutsche-rentenversicherung.de/DRV/DE/Experten/Zahlen-und-Tabellen/Statistiken/statistiken_node.html
IAB_REFUGEE_PANEL,Institut fuer Arbeitsmarkt- und Berufsforschung (IAB),IAB-BAMF-SOEP Survey of Refugees & Ukrainian Monitoring,2024-2026,Open Reports / Scientific Use File,https://iab.de/en/daten/iab-bamf-soep-befragung-von-gefluechteten/
BMAS_SGB_XII,Bundesministerium fuer Arbeit und Soziales (BMAS),Regelbedarfsstufen & Grundsicherung im Alter (SGB XII),2024-2026,Federal Legal Gazettes / Official Statistics,https://www.bmas.de/DE/Soziales/Sozialhilfe/Grundsicherung-im-Alter-und-bei-Erwerbsminderung/grundsicherung-im-alter-und-bei-erwerbsminderung.html
BMAS_SGB_VI,Bundesministerium fuer Arbeit und Soziales (BMAS),Gesetzliche Rentenversicherung (SGB VI & Rentenwertbestimmungsverordnung),2024-2026,Federal Law Gazette (Bundesgesetzblatt),https://www.gesetze-im-internet.de/sgb_6/
OECD_PENSIONS,OECD,Pensions at a Glance 2023/2025: OECD and G20 Indicators,2023/2025,Open Academic Report,https://www.oecd.org/en/publications/oecd-pensions-at-a-glance-2023_678055dd-en.html
EC_AGEING_REPORT,European Commission (DG ECFIN),The 2024 Ageing Report: Economic and Budgetary Projections,2024,Institutional Report (European Economy),https://economy-finance.ec.europa.eu/publications/2024-ageing-report-economic-and-budgetary-projections-eu-member-states-2022-2070_en

