person_id,population_group,sex,age,years_in_germany,education_level,german_language_cefr,deskilling_penalty,annual_gross_wage_eur,monthly_remittances_eur,pension_ep_accumulated,deposit_assets_eur,investment_assets_eur,housing_real_estate_eur,total_debt_eur,financial_wealth_eur,net_wealth_eur
ID_000001,German_Native,Female,23,23.0,Medium (Vocational),C1/C2,0.0,35725.8,0.0,5.01,1283.51,0.0,0.0,0.0,1283.51,1283.51
ID_000002,Migrant_2ndGen,Male,23,23.0,Medium (Vocational),C1/C2,0.02,43900.92,24.7,2.4,582.06,0.0,0.0,0.0,582.06,582.06
ID_000003,General_Migrant,Male,45,23.7,High (Tertiary),C1/C2,0.04,126794.32,32.83,46.51,3521.77,0.0,299352.04,188973.44,3521.77,113900.37
ID_000004,German_Native,Female,41,41.0,High (Tertiary),C1/C2,0.0,90696.84,0.0,37.5,35240.18,0.0,320215.56,245242.86,35240.18,110212.88
ID_000005,German_Native,Female,18,18.0,Medium (Vocational),C1/C2,0.0,36544.24,0.0,0.0,1716.46,0.0,0.0,4459.82,1716.46,-2743.36
ID_000006,German_Native,Female,57,57.0,Medium (Vocational),C1/C2,0.0,32532.9,0.0,22.68,6399.0,0.0,351104.56,44450.86,6399.0,313052.7
ID_000007,German_Native,Male,48,48.0,Low,C1/C2,0.0,53819.24,0.0,33.26,6284.06,0.0,416562.4,146422.32,6284.06,276424.14
ID_000008,General_Refugee,Male,22,11.3,Low,B2,0.08,29553.84,101.37,1.26,740.59,0.0,0.0,0.0,740.59,740.59
ID_000009,German_Native,Female,63,63.0,Medium (Vocational),C1/C2,0.0,62387.95,0.0,49.4,2353.06,0.0,341144.98,0.0,2353.06,343498.04
ID_000010,General_Migrant,Female,44,24.8,Low,B1,0.04,22293.85,14.54,13.33,801.65,0.0,0.0,606.09,801.65,195.56
ID_000011,German_Native,Female,34,34.0,High (Tertiary),C1/C2,0.0,37864.72,0.0,12.77,10447.31,110012.65,0.0,0.0,120459.96,120459.96
ID_000012,Migrant_2ndGen,Female,45,45.0,High (Tertiary),C1/C2,0.02,54810.08,5.53,33.63,3075.57,0.0,0.0,0.0,3075.57,3075.57
ID_000013,General_Refugee,Male,18,8.8,Medium (Vocational),B1,0.08,48561.58,1.99,0.0,100.0,750.11,0.0,7421.85,850.11,-6571.74
ID_000014,German_Native,Male,51,51.0,High (Tertiary),C1/C2,0.0,46006.94,0.0,31.44,6683.22,0.0,399956.53,156204.55,6683.22,250435.2
ID_000015,German_Native,Male,38,38.0,High (Tertiary),C1/C2,0.0,62539.13,0.0,22.14,8603.16,0.0,0.0,0.0,8603.16,8603.16
ID_000016,German_Native,Female,26,26.0,Medium (Vocational),C1/C2,0.0,41842.1,0.0,8.22,987.35,0.0,0.0,6074.87,987.35,-5087.52
ID_000017,German_Native,Male,64,64.0,High (Tertiary),C1/C2,0.0,90588.73,0.0,66.0,34141.08,4447.4,324590.93,0.0,38588.48,363179.41
ID_000018,German_Native,Male,41,41.0,High (Tertiary),C1/C2,0.0,50661.95,0.0,21.47,11274.39,0.0,0.0,603.93,11274.39,10670.46
ID_000019,German_Native,Female,38,38.0,High (Tertiary),C1/C2,0.0,73256.83,0.0,28.1,6955.24,0.0,0.0,0.0,6955.24,6955.24
ID_000020,German_Native,Male,38,38.0,Medium (Vocational),C1/C2,0.0,43267.44,0.0,13.77,3198.4,0.0,0.0,0.0,3198.4,3198.4
ID_000021,German_Native,Male,62,62.0,High (Tertiary),C1/C2,0.0,72492.4,0.0,55.17,10279.38,0.0,0.0,0.0,10279.38,10279.38
ID_000022,German_Native,Female,58,58.0,Medium (Vocational),C1/C2,0.0,41281.51,0.0,37.18,12592.28,1366.54,0.0,0.0,13958.82,13958.82
ID_000023,German_Native,Male,65,65.0,Low,C1/C2,0.0,49788.87,0.0,42.9,3789.87,0.0,323138.86,0.0,3789.87,326928.73
ID_000024,German_Native,Female,59,59.0,Medium (Vocational),C1/C2,0.0,54717.13,0.0,43.83,21724.18,47575.91,457092.01,17844.76,69300.09,508547.34
ID_000025,German_Native,Female,55,55.0,Low,C1/C2,0.0,37873.85,0.0,31.43,3085.69,0.0,120000.0,25458.68,3085.69,97627.01
ID_000026,General_Migrant,Female,44,31.0,Medium (Vocational),B2,0.04,73118.92,228.24,36.17,2393.49,4470.81,0.0,3375.21,6864.3,3489.09
ID_000027,German_Native,Male,32,32.0,High (Tertiary),C1/C2,0.0,77796.12,0.0,19.62,1041.35,0.0,0.0,1109.41,1041.35,-68.06
ID_000028,German_Native,Male,41,41.0,High (Tertiary),C1/C2,0.0,65314.34,0.0,23.33,6144.53,0.0,410101.44,223348.53,6144.53,192897.44
ID_000029,German_Native,Male,27,27.0,Medium (Vocational),C1/C2,0.0,43798.82,0.0,6.37,2320.02,515.26,0.0,0.0,2835.28,2835.28
ID_000030,German_Native,Female,40,40.0,Low,C1/C2,0.0,29047.82,0.0,14.38,5884.99,4076.77,371180.03,218801.97,9961.76,162339.82
ID_000031,German_Native,Female,41,41.0,Low,C1/C2,0.0,41264.76,0.0,19.76,6638.44,644.65,462060.51,302820.22,7283.09,166523.38
ID_000032,German_Native,Female,85,85.0,Medium (Vocational),C1/C2,0.0,0.0,0.0,57.51,8549.42,0.0,484294.8,0.0,8549.42,492844.22
ID_000033,German_Native,Female,57,57.0,High (Tertiary),C1/C2,0.0,51867.79,0.0,37.73,27766.35,25196.77,402065.29,51547.34,52963.12,403481.07
ID_000034,Migrant_2ndGen,Female,23,23.0,High (Tertiary),C1/C2,0.02,39027.19,22.68,2.13,1942.0,0.0,0.0,0.0,1942.0,1942.0
ID_000035,Migrant_2ndGen,Female,47,47.0,High (Tertiary),C1/C2,0.02,52199.81,34.61,30.97,6613.22,0.0,0.0,0.0,6613.22,6613.22
ID_000036,General_Migrant,Male,33,15.4,High (Tertiary),B2,0.04,42241.99,80.47,10.56,793.77,0.0,0.0,0.0,793.77,793.77
ID_000037,German_Native,Female,47,47.0,Medium (Vocational),C1/C2,0.0,44578.69,0.0,28.21,38104.51,0.0,341879.62,128328.0,38104.51,251656.13
ID_000038,German_Native,Male,63,63.0,High (Tertiary),C1/C2,0.0,98453.34,0.0,83.83,5676.31,4374.75,0.0,273.04,10051.06,9778.02
ID_000039,General_Migrant,Female,23,6.0,Low,A1/A2,0.04,45460.69,107.41,5.34,922.48,0.0,443363.22,672201.26,922.48,-227915.56
ID_000040,German_Native,Male,52,52.0,Medium (Vocational),C1/C2,0.0,77021.19,0.0,54.56,50920.67,0.0,340107.17,101666.48,50920.67,289361.36
ID_000041,German_Native,Female,21,21.0,Medium (Vocational),C1/C2,0.0,72372.33,0.0,0.0,531.32,0.0,0.0,0.0,531.32,531.32
ID_000042,German_Native,Male,29,29.0,Medium (Vocational),C1/C2,0.0,42076.39,0.0,6.66,3068.69,0.0,0.0,0.0,3068.69,3068.69
ID_000043,German_Native,Male,43,43.0,High (Tertiary),C1/C2,0.0,112625.18,0.0,46.03,20143.07,0.0,0.0,840.51,20143.07,19302.56
ID_000044,Ukrainian_Migrant_Pre2022,Male,58,15.0,High (Tertiary),C1/C2,0.03,35586.97,27.21,11.42,2813.24,0.0,0.0,0.0,2813.24,2813.24
ID_000045,German_Native,Female,55,55.0,Medium (Vocational),C1/C2,0.0,63165.56,0.0,47.2,5726.91,0.0,369561.23,63870.51,5726.91,311417.63
ID_000046,General_Migrant,Male,18,29.2,Low,C1/C2,0.04,24251.12,82.78,0.0,621.57,0.0,0.0,0.0,621.57,621.57
ID_000047,German_Native,Male,50,50.0,Medium (Vocational),C1/C2,0.0,73334.46,0.0,37.0,25304.84,0.0,0.0,3338.56,25304.84,21966.28
ID_000048,German_Native,Female,45,45.0,High (Tertiary),C1/C2,0.0,71792.55,0.0,36.71,6809.58,0.0,454052.62,230338.85,6809.58,230523.35
ID_000049,German_Native,Female,40,40.0,High (Tertiary),C1/C2,0.0,124574.22,0.0,39.07,6687.92,2413.18,376644.27,281277.25,9101.1,104468.12
ID_000050,German_Native,Female,24,24.0,Medium (Vocational),C1/C2,0.0,26789.69,0.0,5.2,2101.85,552.88,0.0,0.0,2654.73,2654.73
ID_000051,Migrant_2ndGen,Female,38,38.0,Low,C1/C2,0.02,46103.84,73.83,13.67,4641.7,3660.4,0.0,0.0,8302.1,8302.1
ID_000052,General_Migrant,Female,25,13.3,Medium (Vocational),C1/C2,0.04,41086.87,30.47,7.09,912.84,0.0,0.0,722.76,912.84,190.08
ID_000053,Migrant_2ndGen,Male,41,41.0,High (Tertiary),C1/C2,0.02,59731.3,5.57,26.09,2584.91,0.0,0.0,0.0,2584.91,2584.91
ID_000054,Ukrainian_Refugee_2022plus,Female,35,2.0,High (Tertiary),B2,0.1,28466.65,391.41,0.58,3042.0,0.0,0.0,0.0,3042.0,3042.0
ID_000055,German_Native,Male,41,41.0,Medium (Vocational),C1/C2,0.0,75083.85,0.0,29.24,1917.11,0.0,457638.07,311746.96,1917.11,147808.22
ID_000056,Migrant_2ndGen,Male,45,45.0,Medium (Vocational),C1/C2,0.02,62991.29,1.3,30.25,7991.0,35460.58,0.0,0.0,43451.58,43451.58
ID_000057,German_Native,Male,62,62.0,High (Tertiary),C1/C2,0.0,123314.82,0.0,83.23,4973.14,76919.31,0.0,4469.53,81892.45,77422.92
ID_000058,German_Native,Female,44,44.0,Medium (Vocational),C1/C2,0.0,64558.72,0.0,33.03,4515.91,0.0,344246.23,200948.93,4515.91,147813.21
ID_000059,German_Native,Female,35,35.0,Medium (Vocational),C1/C2,0.0,49876.29,0.0,18.04,3815.1,0.0,0.0,0.0,3815.1,3815.1
ID_000060,German_Native,Female,74,74.0,Medium (Vocational),C1/C2,0.0,0.0,0.0,47.94,20417.18,0.0,0.0,749.75,20417.18,19667.43
ID_000061,German_Native,Female,18,18.0,Medium (Vocational),C1/C2,0.0,29776.54,0.0,0.0,1749.44,0.0,0.0,141.61,1749.44,1607.83
ID_000062,German_Native,Male,68,68.0,Low,C1/C2,0.0,0.0,0.0,46.85,9023.3,0.0,0.0,0.0,9023.3,9023.3
ID_000063,General_Refugee,Male,38,11.4,Medium (Vocational),B2,0.08,45149.86,231.96,9.37,164.58,0.0,0.0,5771.38,164.58,-5606.8
ID_000064,German_Native,Male,18,18.0,High (Tertiary),C1/C2,0.0,36244.77,0.0,0.0,2823.93,0.0,0.0,0.0,2823.93,2823.93
ID_000065,German_Native,Female,43,43.0,Medium (Vocational),C1/C2,0.0,63436.5,0.0,35.05,2092.84,0.0,489181.26,267427.73,2092.84,223846.37
ID_000066,German_Native,Female,33,33.0,Medium (Vocational),C1/C2,0.0,34993.77,0.0,8.79,1672.87,0.0,0.0,367.57,1672.87,1305.3
ID_000067,German_Native,Male,59,59.0,Medium (Vocational),C1/C2,0.0,51680.4,0.0,34.92,3519.57,16601.61,0.0,0.0,20121.18,20121.18
ID_000068,General_Migrant,Female,43,24.9,Medium (Vocational),B2,0.04,41987.01,224.18,22.32,1914.02,0.0,0.0,0.0,1914.02,1914.02
ID_000069,German_Native,Male,80,80.0,Medium (Vocational),C1/C2,0.0,0.0,0.0,48.72,3972.92,0.0,580417.45,0.0,3972.92,584390.37
ID_000070,Migrant_2ndGen,Female,53,53.0,Medium (Vocational),C1/C2,0.02,48231.41,0.62,32.29,6504.53,0.0,0.0,0.0,6504.53,6504.53
ID_000071,General_Migrant,Female,36,26.1,Medium (Vocational),B2,0.04,45216.92,45.76,17.09,9703.27,0.0,0.0,2406.25,9703.27,7297.02
ID_000072,German_Native,Female,66,66.0,High (Tertiary),C1/C2,0.0,122810.76,0.0,101.31,3371.48,0.0,542231.05,0.0,3371.48,545602.53
ID_000073,German_Native,Male,72,72.0,High (Tertiary),C1/C2,0.0,0.0,0.0,39.92,6603.42,32364.58,293035.07,0.0,38968.0,332003.07
ID_000074,General_Refugee,Male,38,9.1,Medium (Vocational),B2,0.08,74406.46,1.74,12.96,1251.11,0.0,0.0,0.0,1251.11,1251.11
ID_000075,General_Migrant,Male,58,11.6,Low,B1,0.04,52922.99,205.09,11.8,10741.1,0.0,0.0,0.0,10741.1,10741.1
