group,age_bracket,net_wealth_median,net_wealth_mean,fin_wealth_median,fin_wealth_mean,deposit_share_pct,stock_etf_share_pct,homeownership_pct,has_debt_pct
German_Native,<35,19500,64200,12500,28400,68.5,28.0,21.0,48.2
German_Native,35-44,105000,225000,28000,62500,58.0,34.5,48.5,58.0
German_Native,45-54,178000,365000,42000,94000,54.0,38.0,58.2,52.0
German_Native,55-64,234000,442000,58000,132000,56.5,36.0,64.0,38.5
German_Native,65+,195000,385000,46000,108000,67.0,27.0,58.0,12.0
General_Migrant,<35,6200,24800,4800,14200,79.0,18.0,8.5,34.0
General_Migrant,35-44,34000,98000,14500,38000,72.0,22.5,26.0,46.0
General_Migrant,45-54,68000,164000,21000,54000,69.0,24.0,34.5,41.0
General_Migrant,55-64,88000,195000,26000,66000,71.0,22.0,37.0,29.0
General_Migrant,65+,62000,145000,16000,42000,81.0,14.0,30.0,10.0
General_Refugee,<35,1200,5800,1100,4200,92.0,4.5,1.2,22.0
General_Refugee,35-44,5400,18200,3900,11500,88.0,7.0,5.5,31.0
General_Refugee,45-54,11200,34000,7200,18900,85.0,9.5,8.0,28.0
General_Refugee,55+,12500,35000,7800,19500,89.0,6.5,7.5,16.0
Ukrainian_Refugee_2022plus,<35,1800,8200,1600,6100,86.0,11.0,0.8,12.0
Ukrainian_Refugee_2022plus,35-44,4500,21500,3800,14200,82.0,14.5,2.1,16.0
Ukrainian_Refugee_2022plus,45-54,7800,29000,6100,19500,83.0,13.0,3.0,14.0
Ukrainian_Refugee_2022plus,55+,6200,21000,5200,14500,91.0,6.0,2.0,6.5
Ukrainian_Migrant_Pre2022,<35,8500,29500,6800,18200,74.0,23.0,11.0,32.0
Ukrainian_Migrant_Pre2022,35-44,42000,112000,18500,46000,68.0,28.0,29.5,44.0
Ukrainian_Migrant_Pre2022,45-54,74000,178000,25000,62000,66.0,29.5,38.0,39.0
Ukrainian_Migrant_Pre2022,55+,82000,185000,27000,68000,72.0,24.0,36.0,22.0
