variant,year,fertility_tfr,annual_net_migration,total_population_millions,pop_age_0_19_millions,pop_age_20_66_working_age_millions,pop_age_67plus_retirement_age_millions,pop_age_80plus_oldest_old_millions,old_age_dependency_ratio_oadr_pct,system_dependency_ratio_sdr
V1_Moderate_G2_L2_W2,2024,1.47,250000,84.67,15.65,51.52,17.5,6.2,33.97,0.401
V1_Moderate_G2_L2_W2,2025,1.47,250000,84.625,15.614,51.333,17.678,6.295,34.44,0.406
V1_Moderate_G2_L2_W2,2026,1.47,250000,84.579,15.578,51.145,17.856,6.39,34.91,0.412
V1_Moderate_G2_L2_W2,2027,1.47,250000,84.533,15.542,50.958,18.034,6.485,35.39,0.417
V1_Moderate_G2_L2_W2,2028,1.47,250000,84.487,15.506,50.77,18.211,6.58,35.87,0.423
V1_Moderate_G2_L2_W2,2029,1.47,250000,84.44,15.47,50.583,18.388,6.675,36.35,0.429
V1_Moderate_G2_L2_W2,2030,1.47,250000,84.394,15.434,50.395,18.565,6.77,36.84,0.435
V1_Moderate_G2_L2_W2,2031,1.47,250000,84.347,15.398,50.208,18.741,6.865,37.33,0.44
V1_Moderate_G2_L2_W2,2032,1.47,250000,84.3,15.362,50.02,18.918,6.96,37.82,0.446
V1_Moderate_G2_L2_W2,2033,1.47,250000,84.252,15.326,49.833,19.094,7.055,38.32,0.452
V1_Moderate_G2_L2_W2,2034,1.47,250000,84.205,15.29,49.645,19.27,7.15,38.82,0.458
V1_Moderate_G2_L2_W2,2035,1.47,250000,84.158,15.254,49.458,19.446,7.245,39.32,0.464
V1_Moderate_G2_L2_W2,2036,1.47,250000,84.11,15.218,49.27,19.622,7.34,39.83,0.47
V1_Moderate_G2_L2_W2,2037,1.47,250000,84.062,15.182,49.083,19.798,7.435,40.34,0.476
V1_Moderate_G2_L2_W2,2038,1.47,250000,84.015,15.146,48.895,19.974,7.53,40.85,0.482
V1_Moderate_G2_L2_W2,2039,1.47,250000,83.967,15.11,48.708,20.149,7.625,41.37,0.488
V1_Moderate_G2_L2_W2,2040,1.47,250000,83.919,15.074,48.52,20.325,7.72,41.89,0.494
V1_Moderate_G2_L2_W2,2041,1.47,250000,83.871,15.038,48.333,20.5,7.815,42.42,0.5
V1_Moderate_G2_L2_W2,2042,1.47,250000,83.823,15.002,48.145,20.676,7.91,42.94,0.507
V1_Moderate_G2_L2_W2,2043,1.47,250000,83.775,14.966,47.958,20.851,8.005,43.48,0.513
V1_Moderate_G2_L2_W2,2044,1.47,250000,83.726,14.93,47.77,21.026,8.1,44.02,0.519
V1_Moderate_G2_L2_W2,2045,1.47,250000,83.678,14.894,47.583,21.201,8.195,44.56,0.526
V1_Moderate_G2_L2_W2,2046,1.47,250000,83.63,14.858,47.395,21.377,8.29,45.1,0.532
V1_Moderate_G2_L2_W2,2047,1.47,250000,83.581,14.822,47.208,21.552,8.385,45.65,0.538
V1_Moderate_G2_L2_W2,2048,1.47,250000,83.533,14.786,47.02,21.727,8.48,46.21,0.545
V1_Moderate_G2_L2_W2,2049,1.47,250000,83.484,14.75,46.833,21.902,8.575,46.77,0.552
V1_Moderate_G2_L2_W2,2050,1.47,250000,83.435,14.714,46.645,22.076,8.67,47.33,0.558
V1_Moderate_G2_L2_W2,2051,1.47,250000,83.387,14.678,46.458,22.251,8.765,47.9,0.565
V1_Moderate_G2_L2_W2,2052,1.47,250000,83.338,14.642,46.27,22.426,8.86,48.47,0.572
V1_Moderate_G2_L2_W2,2053,1.47,250000,83.289,14.606,46.083,22.601,8.955,49.04,0.578
V1_Moderate_G2_L2_W2,2054,1.47,250000,83.24,14.57,45.895,22.775,9.05,49.62,0.585
V1_Moderate_G2_L2_W2,2055,1.47,250000,83.191,14.534,45.708,22.95,9.145,50.21,0.592
V1_Moderate_G2_L2_W2,2056,1.47,250000,83.142,14.498,45.52,23.124,9.24,50.8,0.599
V1_Moderate_G2_L2_W2,2057,1.47,250000,83.093,14.462,45.333,23.299,9.335,51.4,0.606
V1_Moderate_G2_L2_W2,2058,1.47,250000,83.044,14.426,45.145,23.473,9.43,51.99,0.613
V1_Moderate_G2_L2_W2,2059,1.47,250000,82.995,14.39,44.958,23.647,9.525,52.6,0.62
V1_Moderate_G2_L2_W2,2060,1.47,250000,82.946,14.354,44.77,23.822,9.62,53.21,0.628
V1_Moderate_G2_L2_W2,2061,1.47,250000,82.897,14.318,44.583,23.996,9.715,53.82,0.635
V1_Moderate_G2_L2_W2,2062,1.47,250000,82.847,14.282,44.395,24.17,9.81,54.44,0.642
V1_Moderate_G2_L2_W2,2063,1.47,250000,82.798,14.246,44.208,24.344,9.905,55.07,0.65
V1_Moderate_G2_L2_W2,2064,1.47,250000,82.749,14.21,44.02,24.519,10.0,55.7,0.657
V1_Moderate_G2_L2_W2,2065,1.47,250000,82.699,14.174,43.833,24.693,10.095,56.33,0.664
V1_Moderate_G2_L2_W2,2066,1.47,250000,82.65,14.138,43.645,24.867,10.19,56.97,0.672
V1_Moderate_G2_L2_W2,2067,1.47,250000,82.6,14.102,43.458,25.041,10.285,57.62,0.68
V1_Moderate_G2_L2_W2,2068,1.47,250000,82.551,14.066,43.27,25.215,10.38,58.27,0.687
V1_Moderate_G2_L2_W2,2069,1.47,250000,82.501,14.03,43.083,25.389,10.475,58.93,0.695
V1_Moderate_G2_L2_W2,2070,1.47,250000,82.451,13.994,42.895,25.562,10.57,59.59,0.703
V2_AgingShock_G1_L3_W1,2024,1.29,150000,84.67,15.65,51.52,17.5,6.2,33.97,0.401
V2_AgingShock_G1_L3_W1,2025,1.29,150000,84.525,15.565,51.25,17.71,6.325,34.56,0.408
V2_AgingShock_G1_L3_W1,2026,1.29,150000,84.379,15.48,50.979,17.92,6.45,35.15,0.415
V2_AgingShock_G1_L3_W1,2027,1.29,150000,84.234,15.395,50.709,18.13,6.575,35.75,0.422
V2_AgingShock_G1_L3_W1,2028,1.29,150000,84.088,15.31,50.438,18.34,6.7,36.36,0.429
V2_AgingShock_G1_L3_W1,2029,1.29,150000,83.942,15.225,50.167,18.55,6.825,36.98,0.436
