year,bund_10y_yield_pct,cpi_inflation_rate_pct,cpi_index_2020_base,deflator_to_2026
2000,5.26,1.4,74.42,1.6511
2001,4.8,1.9,75.46,1.6204
2002,4.78,1.4,76.9,1.598
2003,4.07,1.1,77.97,1.5806
2004,4.04,1.8,78.83,1.5526
2005,3.35,1.9,80.25,1.5237
2006,3.76,1.8,81.78,1.4968
2007,4.22,2.3,83.25,1.4631
2008,3.98,2.8,85.16,1.4233
2009,3.22,0.2,87.55,1.4204
2010,2.74,1.1,87.72,1.405
2011,2.61,2.1,88.69,1.3761
2012,1.5,2.0,90.55,1.3491
2013,1.57,1.5,92.36,1.3291
2014,1.16,0.9,93.75,1.3173
2015,0.5,0.5,94.59,1.3107
2016,0.09,0.5,95.06,1.3042
2017,0.32,1.5,95.54,1.2849
2018,0.4,1.7,96.97,1.2635
2019,-0.21,1.4,98.62,1.246
2020,-0.51,0.5,100.5,1.2398
2021,-0.31,3.1,103.62,1.2025
2022,1.18,6.9,110.76,1.1249
2023,2.45,5.9,117.3,1.0622
2024,2.35,2.2,119.88,1.0394
2025,2.2,2.0,122.28,1.019
2026,2.15,1.9,124.6,1.0
